"No.","Time","Source","Destination","Protocol","Length","Info"
"4806","293.865809","192.168.1.169","3.33.194.161","HTTP","146","HEAD / HTTP/1.1 "
"4808","293.930930","3.33.194.161","192.168.1.169","HTTP","576","HTTP/1.1 301 Moved Permanently "
"6993","444.389276","192.168.1.169","91.189.91.82","HTTP","300","GET /ubuntu/dists/oracular-security/InRelease HTTP/1.1 "
"6996","444.443481","192.168.1.169","91.189.91.82","HTTP","293","GET /ubuntu/dists/oracular/InRelease HTTP/1.1 "
"7016","444.510611","91.189.91.82","192.168.1.169","HTTP","360","HTTP/1.1 304 Not Modified "
"7018","444.514028","192.168.1.169","91.189.91.82","HTTP","301","GET /ubuntu/dists/oracular-updates/InRelease HTTP/1.1 "
"7160","444.736213","91.189.91.82","192.168.1.169","HTTP","534","HTTP/1.1 200 OK "
"7245","444.910788","91.189.91.82","192.168.1.169","HTTP","532","HTTP/1.1 200 OK "
"7260","444.914312","192.168.1.169","91.189.91.82","HTTP","303","GET /ubuntu/dists/oracular-backports/InRelease HTTP/1.1 "
"7377","445.041335","192.168.1.169","91.189.91.82","HTTP","331","GET /ubuntu/dists/oracular-security/main/dep11/by-hash/SHA256/bd68bc2c6b90263fdb920a980b088341efa30dbc0656ec609f60d1206cdf685f HTTP/1.1 "
"7392","445.050859","91.189.91.82","192.168.1.169","HTTP","580","HTTP/1.1 200 OK "
"7402","445.107721","91.189.91.82","192.168.1.169","HTTP","662","HTTP/1.1 200 OK "
"7407","445.164216","192.168.1.169","91.189.91.82","HTTP","1144","GET /ubuntu/dists/oracular-security/restricted/dep11/by-hash/SHA256/92e6b2a4a345520a5f06a09672fd671237fef8c76fdab40319a14330885f4c54 HTTP/1.1 GET /ubuntu/dists/oracular-security/universe/dep11/by-hash/SHA256/2ba342efae230b3c0d4be1ad13aac190f660b8d759e53b6d24f22d582091490e HTTP/1.1 GET /ubuntu/dists/oracular-security/universe/cnf/by-hash/SHA256/831a93936f9218229e97e3a9bf14314748432afc60252a6d6ed7882a20b8da65 HTTP/1.1 GET /ubuntu/dists/oracular-security/multiverse/dep11/by-hash/SHA256/22b7aa5ed89bcf5dee79194f842a5b0d13961899e983f1e5e466d388c45ca08a HTTP/1.1 "
"7408","445.217982","91.189.91.82","192.168.1.169","HTTP","511","HTTP/1.1 200 OK "
"7415","445.222067","91.189.91.82","192.168.1.169","HTTP","1514","HTTP/1.1 200 OK "
"7422","445.225744","91.189.91.82","192.168.1.169","HTTP","863","HTTP/1.1 200 OK HTTP/1.1 200 OK "
"7424","445.237667","192.168.1.169","91.189.91.82","HTTP","339","GET /ubuntu/dists/oracular-updates/main/binary-amd64/by-hash/SHA256/1d8fd3b5c521024db3a1729811b4d6bf8fb33ab2ef52036daeeb2b8de95ad947 HTTP/1.1 "
"7745","445.531329","91.189.91.82","192.168.1.169","HTTP","385","HTTP/1.1 200 OK "
