"No.","Time","Source","Destination","Protocol","Length","Info"
"169","9.833295","2620:1ec:50::12","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","113","Application Data"
"170","9.833445","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TCP","74","58741  >  443 [ACK] Seq=1 Ack=40 Win=4095 Len=0"
"171","9.835142","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TLSv1.2","109","Application Data"
"172","9.835304","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TLSv1.2","109","Application Data"
"173","9.846146","2620:1ec:50::12","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","74","443  >  58741 [ACK] Seq=40 Ack=71 Win=16384 Len=0"
"183","11.864776","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TCP","1474","58741  >  443 [ACK] Seq=71 Ack=40 Win=4096 Len=1400 [TCP PDU reassembled in 187]"
"184","11.864779","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TCP","1474","58741  >  443 [ACK] Seq=1471 Ack=40 Win=4096 Len=1400 [TCP PDU reassembled in 187]"
"185","11.864780","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TCP","1474","58741  >  443 [ACK] Seq=2871 Ack=40 Win=4096 Len=1400 [TCP PDU reassembled in 187]"
"186","11.864783","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TCP","1474","58741  >  443 [ACK] Seq=4271 Ack=40 Win=4096 Len=1400 [TCP PDU reassembled in 187]"
"187","11.864817","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TLSv1.2","1306","Application Data"
"188","11.864879","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TLSv1.2","436","Application Data"
"190","11.877819","2620:1ec:50::12","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","74","443  >  58741 [ACK] Seq=40 Ack=1471 Win=16385 Len=0"
"191","11.877819","2620:1ec:50::12","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","74","443  >  58741 [ACK] Seq=40 Ack=4271 Win=16385 Len=0"
"192","11.877820","2620:1ec:50::12","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","74","443  >  58741 [ACK] Seq=40 Ack=5671 Win=16380 Len=0"
"193","11.877820","2620:1ec:50::12","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TCP","74","443  >  58741 [ACK] Seq=40 Ack=7265 Win=16385 Len=0"
"196","11.966579","2620:1ec:50::12","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","TLSv1.2","250","Application Data"
"197","11.966717","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2620:1ec:50::12","TCP","74","58741  >  443 [ACK] Seq=7265 Ack=216 Win=4093 Len=0"
"200","13.671717","2600:1700:1cd7:a8e0:6495:519f:55a7:5c26","2600:1404:ec00:d87::dc8","TLSv1.2","110","Application Data"
